title,host_is_superhost,neighbourhood,city,state,zipcode,latitude,longitude,property_type,price,has_availability,number_of_reviews
Green Lake Carriage House,t,Wallingford,Seattle,WA,98115,47.67048822217900,-122.32260006958800,Loft,100.00,t,84
 Cozy City Bedroom and Den,f,Wallingford,Seattle,WA,98105,47.65668734140470,-122.32656987944400,House,65.00,t,36
True Wallingford Craftsman,t,Wallingford,Seattle,WA,98103,47.652434156093100,-122.3378533128980,House,150.00,t,86
Perfect Location 1BR in Wallingford,f,Wallingford,Seattle,WA,98103,47.64826946132920,-122.33703239045400,Apartment,140.00,t,1
Quiet Greenlake house w/ balcony,f,Wallingford,Seattle,WA,98103,47.66817599754460,-122.33737078892900,House,45.00,t,15
"Airy Green Lake Craftsman,Teal Room",f,,Seattle,WA,98105,47.670267202097000,-122.32537254083500,House,74.00,t,18
Sweet+Cozy+Safe Studio in Seattle,f,Wallingford,Seattle,WA,98105,47.661905511973,-122.32397166285900,Apartment,60.00,t,1
Wallingford Townhouse,f,Wallingford,Seattle,WA,98105,47.66222165880240,-122.32358714068200,House,350.00,t,0
"Green Lake Oasis, Perfect Location",f,Wallingford,Seattle,WA,98103,47.66632646722550,-122.33374126317700,Apartment,135.00,t,32
Cozy 1BD in Fremont/Wallingford!,t,Fremont,Seattle,WA,98103,47.66198073763040,-122.34609578500100,Apartment,85.00,t,10
"the orange house, quiet 'n central ",f,Wallingford,Seattle,WA,98103,47.654476789922700,-122.33646426288400,House,310.00,t,47
Lake Union Hacker House - 1FL 2p U,f,Wallingford,Seattle,WA,98103,47.65127573416260,-122.33279650289000,House,40.00,t,3
Wallingford Tudor Home,f,Wallingford,Seattle,WA,98103,47.6642271115897,-122.33904925011100,House,215.00,t,0
"99walkscore, 3br, deck, zoo,central",t,Wallingford,Seattle,WA,98103,47.661217060519200,-122.33942421330600,House,245.00,t,38
An  Old Charm in Central Seattle,f,Wallingford,Seattle,WA,98103,47.66247669890080,-122.3326592048570,House,65.00,t,25
Brand New Modern 1Br inWallingford,f,Wallingford,Seattle,WA,98105,47.66369277578450,-122.32836574381400,House,85.00,t,0
Craftsman Bungalow Room,f,Wallingford,Seattle,WA,98105,47.66767781200830,-122.3284137681410,House,95.00,t,0
Great Room Near UW and Downtown,f,Wallingford,Seattle,WA,98103,47.66358478630540,-122.34072797645700,House,57.00,t,83
"Private, Standalone Apartment!",f,,Seattle,WA,98105,47.65736664396990,-122.3267419776910,Bungalow,75.00,t,1
Relax with a CANNACATION!,t,Wallingford,Seattle,WA,98103,47.664403679415800,-122.33812735653600,House,120.00,t,44
"the down home ,central and fab!",f,Wallingford,Seattle,WA,98103,47.654787431000200,-122.33651988462300,Apartment,120.00,t,32
1bd Fremont lake Union view,f,,Seattle,WA,98103,47.65014724729700,-122.3417705080060,Apartment,40.00,t,4
Panoramic Water Views - 6bd/3ba,t,Wallingford,Seattle,WA,98103,47.649236044709100,-122.3321802410850,House,490.00,t,24
Cozy Room for Rent in Green Lake!,f,,Seattle,WA,98115,47.67169512983540,-122.32487928245100,Apartment,50.00,t,2
The Wallingford Manor,f,Wallingford,Seattle,WA,98103,47.64784967397030,-122.33607883941500,House,200.00,t,5
Lake Union Hacker House - 2FL 2p L,f,,Seattle,WA,98103,47.65105572913230,-122.33098569943000,House,40.00,t,1
Floating Home~Kayaks~SUPs~Bikes,f,Wallingford,Seattle,WA,98103,47.648115292177400,-122.33166537419900,House,255.00,t,0
Top Floor Suite with City Views,t,,Seattle,WA,98103,47.654370021803700,-122.32789618933000,House,95.00,t,88
Gorgeous apt with skyline view,f,Wallingford,Seattle,WA,98103,47.657541758631100,-122.34153252138200,Apartment,160.00,t,1
GREEN SUITE - super clean - new bed,t,Wallingford,Seattle,WA,98103,47.66858110521490,-122.33688020592200,House,55.00,t,49
In-City Suite Retreat,f,Wallingford,Seattle,WA,98103,47.660295890212900,-122.34026075100000,House,85.00,t,5
Charming Greenlake Craftsman,f,Wallingford,Seattle,WA,98105,47.669934292457300,-122.32668994810800,House,325.00,t,0
Greenlake Apt. with Chef's Kitchen,f,Green Lake,Seattle,WA,98103,47.67146343960840,-122.33413317558300,Apartment,144.00,t,32
"Private Room, Wallingford, Seattle",f,Wallingford,Seattle,WA,98105,47.65837647388670,-122.32676554716300,House,100.00,t,0
"Garden apt, fresh honey",f,Wallingford,Seattle,WA,98105,47.658538900609200,-122.32581803195700,Apartment,115.00,t,86
BLUE SUITE - super clean - new bed,t,Wallingford,Seattle,WA,98103,47.66536801249710,-122.33999428735000,House,55.00,t,73
Clean & modern 1BR in Wallingford,t,Fremont,Seattle,WA,98103,47.6593870611002,-122.34188150985600,Apartment,95.00,t,11
Wonderful Queen Anne Home,f,Queen Anne,Seattle,WA,98119,47.64181148252340,-122.37407118740700,House,175.00,t,0
2 Private Rooms - Queen Anne Home,f,Queen Anne,Seattle,WA,98109,47.646757454269500,-122.35279913111900,House,95.00,t,118
Charming Urban Bungalow,f,Queen Anne,Seattle,WA,98119,47.64169150649170,-122.35925504623100,House,100.00,t,0
queen size bed quiet neighborhood,f,,Seattle,WA,98109,47.649775364161400,-122.35798281170700,Apartment,46.00,t,0
Beautiful Bedroom in Queen Anne,f,Queen Anne,Seattle,WA,98119,47.64235821035010,-122.37404682885900,House,50.00,t,1
Beautiful Queen Anne Home,f,Queen Anne,Seattle,WA,98119,47.642622141001800,-122.36435474422600,House,445.00,t,6
1 BR in modern Queen Anne townhouse,f,Queen Anne,Seattle,WA,98119,47.64689453994920,-122.36143994699900,House,75.00,t,7
Newly Renovated Queen Anne 2 Bdrm,f,,Seattle,WA,98119,47.65186065987390,-122.36499372093200,House,100.00,t,5
Queen Anne Cottage,f,Queen Anne,Seattle,WA,98109,47.64763893577060,-122.35529433604700,House,130.00,t,2
Modern townhouse w/hot tub,f,Queen Anne,Seattle,WA,98109,47.647588317590300,-122.35889539343300,House,235.00,t,5
1bed condo near water and Fremont,f,,Seattle,WA,98109,47.646658439809500,-122.35681489262700,Apartment,100.00,t,1
Cozy 1 Bedroom in Queen Anne,f,Queen Anne,Seattle,WA,98119,47.65247213891900,-122.36907776663200,Apartment,120.00,t,2
New! Bright Queen Anne Studio,f,Queen Anne,Seattle,WA,98119,47.65349155528920,-122.36974127038300,Apartment,80.00,t,21
2 BDR GARDEN APT + PATIO/GRILL+PKG,t,Queen Anne,Seattle,WA,98119,47.64530244683550,-122.36090611299000,Apartment,110.00,t,60
"Magazine Profiled, View, Gorgeous ",f,Queen Anne,Seattle,WA,98119,47.6452880124382,-122.37264242636500,House,395.00,t,2
"Private, Quiet room close to SPU",f,Queen Anne,Seattle,WA,98119,47.64353087698340,-122.36083387335500,House,88.00,t,21
Quiet bedroom with private bathroom,t,Queen Anne,Seattle,WA,98119,47.641451509062800,-122.37418789203700,Condominium,55.00,t,31
5 star Luxury + Urban Tranquility,t,Queen Anne,Seattle,WA,98119,47.64491324750280,-122.3734627733430,Apartment,145.00,t,23
Fabulous 3BR Queen Anne Home,f,Queen Anne,Seattle,WA,98119,47.64094709939920,-122.357374824587,House,425.00,t,38
Queen Anne Stylish Apt Near City,f,Queen Anne,Seattle,WA,98119,47.64141466138150,-122.36549602728100,Apartment,114.00,t,66
Fremont Sunrise View,f,Queen Anne,Seattle,WA,98109,47.646527444844800,-122.35433431586000,Apartment,110.00,t,63
"Modern Home, Kid-Friendly with View",f,Queen Anne,Seattle,WA,98119,47.6507952493895,-122.3723846328050,House,300.00,t,2
Cozy & Clean Apt Close To Downtown!,f,Queen Anne,Seattle,WA,98119,47.63992530260140,-122.36743129929800,Apartment,117.00,t,72
Queen Anne Coastal Bungalow,t,Queen Anne,Seattle,WA,98119,47.64238208473370,-122.37207284614000,House,275.00,t,28
"Villa Hill-Bedroom, bath, TV room",f,Queen Anne,Seattle,WA,98109,47.642656539730700,-122.35810822728800,House,85.00,t,25
Quiet family retreat-great location,f,Queen Anne,Seattle,WA,98119,47.64096457779040,-122.36828618994500,House,300.00,t,0
Perfect Seattle Room + Bathroom,f,Queen Anne,Seattle,WA,98119,47.64519299025470,-122.37581952643300,House,53.00,t,27
Charming 2BR Queen Anne Close to DT,t,Queen Anne,Seattle,WA,98119,47.644104661696600,-122.37067963422000,House,107.00,t,24
URBAN OASIS ON QUEEN ANNE HILL,t,Queen Anne,Seattle,WA,98119,47.643624330969900,-122.3674237242470,House,348.00,t,6
Gorgeous Queen Anne 2BR(AmazinView),f,,Seattle,WA,98119,47.654339683168900,-122.37087744288900,House,89.00,t,10
Comfy Queen Anne Digs,t,Queen Anne,Seattle,WA,98119,47.65017304308880,-122.3676003804970,House,89.00,t,52
Bright 1 bd w deck. Great location,t,,Seattle,WA,98119,47.650589773235100,-122.37122861345400,Apartment,89.00,t,11
Inn of Twin Gables - North Room,f,Queen Anne,Seattle,WA,,47.649393430202100,-122.3755835210550,Bed & Breakfast,209.00,t,1
Private large one bedroom,f,Queen Anne,Seattle,WA,98119,47.64341119246970,-122.36271562950000,House,76.00,t,4
Queen Anne Cozy Duplex Oasis,f,Queen Anne,Seattle,WA,98119,47.6434349985243,-122.37300786803800,Apartment,74.00,t,28
"Beautiful Update Craftsman 3BR, 3BA",f,Queen Anne,Seattle,WA,98109,47.644130860591700,-122.35629916529000,House,250.00,t,1
Charming Home close to Fremont,f,Queen Anne,Seattle,WA,98109,47.64598071656990,-122.35124443334400,House,180.00,t,7
2BD in Peaceful Upper Queen Anne,f,Queen Anne,Seattle,WA,98119,47.65276019670640,-122.36878421116000,Condominium,179.00,t,6
Scandinavian Queen Anne Home,f,Queen Anne,Seattle,WA,98119,47.643286242768700,-122.37581862242100,House,115.00,t,17
Downtown Seattle + Mountain Views,f,Queen Anne,Seattle,WA,98109,47.64152919286600,-122.35670934868800,Apartment,140.00,t,8
Queen Anne 2 Bdrm/1.5 Ba/1000 sq ft,f,Queen Anne,Seattle,WA,98119,47.64725690168130,-122.35931887654300,Apartment,150.00,t,2
Peaceful One Bedroom Apartment,f,Queen Anne,Seattle,WA,98109,47.647215511598000,-122.35669660398800,Apartment,70.00,t,20
3 bedroom Queen Anne Home,f,Queen Anne,Seattle,WA,98109,47.646883000131700,-122.35423101651800,House,300.00,t,6
"Queen Anne, Seattle",f,Queen Anne,Seattle,WA,98119,47.647192767771000,-122.35890622951300,Apartment,99.00,t,1
Charming home on Queen Anne Hill,f,Queen Anne,Seattle,WA,98109,47.64478716402590,-122.35131440111200,House,89.00,t,12
great location interbay,f,Queen Anne,Seattle,WA,98119,47.64535059290250,-122.3751941751700,Townhouse,100.00,t,0
Quiet & beautify room in Queen Anne,f,Queen Anne,Seattle,WA,98119,47.64480022366980,-122.37393147214100,Townhouse,84.00,t,8
Charming Daylight Basement of DINKS,f,Queen Anne,Seattle,WA,98119,47.64018625598380,-122.36637571211900,Apartment,97.00,t,13
"Spectacular Views, Supersized Suite",t,Queen Anne,Seattle,WA,98119,47.64936685732860,-122.37224737692700,Apartment,116.00,t,7
Queen Breeze B&B,t,Queen Anne,Seattle,WA,98119,47.643149858934300,-122.35895235791800,House,150.00,t,9
Olympics View Seattle QA Craftsman,t,Queen Anne,Seattle,WA,98119,47.64215180918170,-122.36959277569500,Apartment,110.00,t,112
3 Bedroom 3 Bath Ship Canal Oasis,f,Queen Anne,Seattle,WA,98109,47.64783678240160,-122.35616878067800,House,265.00,t,12
Gorgeous Seattle Apt Near Downtown!,f,Queen Anne,Seattle,WA,98119,47.644020847602100,-122.37557156182600,Apartment,115.00,t,10
Queen Anne Bungalow - Weekly Rental,f,Queen Anne,Seattle,WA,98119,47.64266228040770,-122.37108398238100,House,100.00,t,0
Private room and bath in Greenlake,t,Green Lake,Seattle,WA,98115,47.67701504957940,-122.33084774780100,House,109.00,t,81
Green Lake Private Ground Floor BR,f,Green Lake,Seattle,WA,98103,47.688265547431500,-122.33585552400200,House,60.00,t,42
Charming Home 2 Blks from Greenlake,f,Green Lake,Seattle,WA,98103,47.686145006907500,-122.3321849751380,House,249.00,t,37
Stylish Craftsman Near Lake & Park,f,Green Lake,Seattle,WA,98103,47.68532672168500,-122.34238907846700,House,250.00,t,2
Greenlake Summer Home,f,Green Lake,Seattle,WA,98115,47.67330353871280,-122.32251297901800,House,100.00,t,1
Modern Studio Apartment Near Park,f,Green Lake,Seattle,WA,98115,47.678030243587900,-122.32648504901000,Apartment,74.00,t,3
Beautiful Central Green Lake Flat,f,Green Lake,Seattle,WA,98115,47.68415690977500,-122.32597215420300,House,235.00,t,1
New Greenlake Apartment,f,Green Lake,Seattle,WA,98103,47.67373141398340,-122.3345713117140,Apartment,99.00,t,4
"Peaceful, Spacious Home",f,Green Lake,Seattle,WA,98103,47.689767697407000,-122.33464655022200,House,96.00,t,56
Enjoy our Cozy Waterfront nook! MIL,t,Green Lake,Seattle,WA,98103,47.67467646855030,-122.33349619157000,House,92.00,t,41
Sunny Apartment Retreat,f,Green Lake,Seattle,WA,98103,47.673357775952800,-122.32732533007800,Apartment,85.00,t,6
Guest Bedroom near Greenlake,f,Green Lake,Seattle,WA,98115,47.67491183579190,-122.3252380951680,House,55.00,t,11
"Private Room, Bath, & Kitchenette",f,Green Lake,Seattle,WA,98115,47.67431014975750,-122.32266007737900,House,55.00,t,5
Green Lake,f,,Seattle,WA,98115,47.67708443743180,-122.3235236075420,Apartment,80.00,t,1
Two LakeView Balconies in GreenLake,f,Green Lake,Seattle,WA,98103,47.67452613236310,-122.33347301523400,Apartment,195.00,t,0
"Green Lake Guest Suite, private apt",t,Green Lake,Seattle,WA,98103,47.682260605449800,-122.34344999894400,Apartment,145.00,t,135
Green Lake VIEW 2 Bed 1 Bath Apt,t,Green Lake,Seattle,WA,98103,47.67556915343220,-122.33277302821700,Apartment,180.00,t,55
Seattle WA. Green Lake area,f,Green Lake,Seattle,WA,98115,47.67650239365670,-122.32555276047300,Apartment,50.00,t,0
Charming Lake Apartment with Views,f,Green Lake,Seattle,WA,98103,47.67535854285700,-122.33338452656100,Apartment,160.00,t,0
The Traveler Craftsman - Green Lake,f,Green Lake,Seattle,WA,98115,47.676058121940300,-122.3232793465980,House,140.00,t,5
Northwest Charm - Green Lake Area,f,Green Lake,Seattle,WA,98103,47.6763382443755,-122.3295859349240,House,140.00,t,14
Cozy room by Green Lake!,t,Green Lake,Seattle,WA,98115,47.678056101075700,-122.32224559220300,Apartment,40.00,t,107
Cute Greenlake House: Walk to Lake!,f,Green Lake,Seattle,WA,98103,47.68770668079720,-122.33577771632400,House,145.00,t,2
Cozy Greenlake Bungalow,f,Green Lake,Seattle,WA,98103,47.690448568469700,-122.34218739501600,House,225.00,t,22
Gorgeous Greenlake Townhome,f,Green Lake,Seattle,WA,98115,47.67552250956000,-122.32429765119200,Townhouse,325.00,t,0
Green Lake Charmer,f,Green Lake,Seattle,WA,98115,47.67232266670010,-122.32194231881200,House,199.00,t,0
Amazing Huge Modern Green Lake Home,f,Green Lake,Seattle,WA,98115,47.685329792793300,-122.32485184323600,Apartment,450.00,t,1
"Storybook Tudor, house at GreenLake",t,Green Lake,Seattle,WA,98103,47.68378067083370,-122.34201281887900,House,175.00,t,28
Large Luxury Lakeside Seattle Home,f,Green Lake,Seattle,WA,98103,47.683544739522100,-122.33091114441000,House,550.00,t,5
Nice Home- 1.5 Blocks to Green Lake,f,Green Lake,Seattle,WA,98103,47.6746899149564,-122.33241548040900,House,149.00,t,0
Cozy apartment in Green Lake,f,Green Lake,Seattle,WA,98115,47.685870502441600,-122.32756703496200,Apartment,130.00,t,1
Amazing Studio in Green Lake,f,Green Lake,Seattle,WA,98115,47.68009638486840,-122.32342106647200,Apartment,85.00,t,0
Seattle Green Lake Getaway,f,Green Lake,Seattle,WA,98115,47.67314448957890,-122.32595311079700,House,300.00,t,1
Craftsman Home 1 block from Lake!,t,Green Lake,Seattle,WA,98103,47.67659658889270,-122.33077592567200,House,79.00,t,92
Cozy room at Green Lake Seattle.,f,Green Lake,Seattle,WA,98115,47.67644022102630,-122.32749326587100,House,59.00,t,11
Modern Flat Quick Walk 2 Green Lake,f,Green Lake,Seattle,WA,98115,47.68427307787120,-122.32661592202200,House,140.00,t,4
 Comfortable Green Lake Home Base,t,Green Lake,Seattle,WA,98103,47.67030660259600,-122.33909515157700,House,60.00,t,34
Brick Tudor One Block To Green Lake,f,Green Lake,Seattle,WA,98103,47.67571998823420,-122.33217677470700,House,215.00,t,0
Perfect Location 2BR Quiet St Shops,t,Green Lake,Seattle,WA,98115,47.67853735891900,-122.32501336392000,House,100.00,t,48
Quiet Cozy Upstairs BR Green Lake,f,Green Lake,Seattle,WA,98103,47.68724567609190,-122.33469570236000,House,40.00,t,30
Charming Seattle Lake House - 1 bd,f,,Seattle,WA,98103,47.673455339507600,-122.33721207525900,House,99.00,t,3
Quaint Upstairs Room with Closet,f,Green Lake,Seattle,WA,98103,47.68713059269260,-122.3345137442020,House,45.00,t,18
Sweet & Cozy Apartment @ Green Lake,t,Green Lake,Seattle,WA,98103,47.68833692633030,-122.34390742968700,Apartment,75.00,t,78
Spacious Green Lake View Studio,f,Green Lake,Seattle,WA,98103,47.67611450487330,-122.33243806911600,Apartment,119.00,t,25
Charming Seattle Lake House - 1 bed,f,,Seattle,WA,98103,47.671322074155400,-122.336826764107,House,99.00,t,1
3 bdrm Craftsman home on Greenlake,f,Green Lake,Seattle,WA,98115,47.67478054084140,-122.3246218215550,House,225.00,t,2
Bright GreenLake studio - all yours,t,Green Lake,Seattle,WA,98115,47.68190776442440,-122.32785335416400,Apartment,85.00,t,47
greenlake 2 bedroom suite,f,Green Lake,Seattle,WA,98103,47.675139184967600,-122.33328389067900,Apartment,135.00,t,0
Green Lake Getaway -2min from Lake,f,Green Lake,Seattle,WA,98115,47.675724025098,-122.32469276256700,House,335.00,t,14
Steps from Greenlake!,f,,Seattle,WA,98115,47.68110583872480,-122.32394649076400,House,79.00,t,4
Greenlake Getaway,f,Green Lake,Seattle,WA,98103,47.67673937453270,-122.33019073342900,Apartment,90.00,t,33
Dog friendly 1BR townhome w/patio,f,,Seattle,WA,98103,47.68653223716290,-122.33777331275900,House,111.00,t,13
Miradina Al Lago,f,Green Lake,Seattle,WA,98103,47.68472182069250,-122.338821456984,House,110.00,t,60
"Modern, Sunny 3BR/3B Greenlake Home",f,Green Lake,Seattle,WA,98103,47.688906909220500,-122.33401310076900,House,325.00,t,6
City & Lake Views. Central- shared ,f,Westlake,Seattle,WA,98109,47.63347386153110,-122.34344476605100,Apartment,85.00,t,3
Modern Apartment Centrally Located!,f,Westlake,Seattle,WA,98109,47.62794325965200,-122.34127051767700,Apartment,190.00,t,7
1 BedBath - South Lake Union View,f,Westlake,Seattle,WA,98109,47.628664018479600,-122.34270922172900,Apartment,65.00,t,0
Urban condo with a view,f,Westlake,Seattle,WA,98109,47.63201049417840,-122.34273678549300,Condominium,250.00,t,0
Single room in South lake Union,f,Westlake,Seattle,WA,98109,47.632966265441100,-122.34130519519100,Apartment,69.00,t,0
Central. Private big deck & Views!,f,Westlake,Seattle,WA,98109,47.63340284040970,-122.34263074218200,Apartment,400.00,t,8
Welcome aboard a classic 58' yacht!,f,Westlake,Seattle,WA,98109,47.63119424303560,-122.34130359487300,Boat,150.00,t,0
"1 Bed + Den, 2 Bath SLU Apartment",f,,Seattle,WA,98109,47.63619003910560,-122.34258864849200,Apartment,200.00,t,0
Quarky Lillie Houseboat,f,,Seattle,WA,98109,47.63615549360160,-122.34042119967500,House,141.00,t,29
Stunning View/Patio Apartment,f,Westlake,Seattle,WA,98109,47.63262638791510,-122.34180058589500,Apartment,85.00,t,2
70' Yacht  on south Lake  Union,f,Westlake,Seattle,WA,98109,47.631673523684000,-122.34050817402700,Boat,775.00,t,9
Custom Houseboat -Heart of the City,f,Queen Anne,Seattle,WA,98109,47.63730097144280,-122.34015689940800,House,195.00,t,0
"Luxury Yacht Downtown Seattle, 2 bd",f,,Seattle,WA,98101,47.62937474268790,-122.33974644855000,Boat,249.00,t,0
Sunbathed Lower Queen Anne/SLU 1BR,f,,Seattle,WA,98109,47.627159648980800,-122.34322280800400,Apartment,95.00,t,6
Pvt suite in beautiful townhome,f,Queen Anne,Seattle,WA,98109,47.63058331096560,-122.34344930825100,Townhouse,122.00,t,11
2 BR Apartment near Seattle Center,f,Queen Anne,Seattle,WA,98109,47.628201568876700,-122.34351604787200,Apartment,170.00,t,2
Lake Union View Apartment,f,Westlake,Seattle,WA,98109,47.63435768912090,-122.34099032713800,Apartment,65.00,t,4
Cozy Capitol Hill  1 BD Apartment,f,,Seattle,WA,98122,47.62001637395430,-122.29980456293600,Apartment,90.00,t,0
Modern private room and bath,f,Minor,Seattle,WA,98122,47.61331951040390,-122.30056685170100,House,88.00,t,8
Modern 2BR in Seattle Urban Oasis,f,Minor,Seattle,WA,98122,47.61375392434960,-122.30045754145400,House,125.00,t,132
Cute Convenient Capitol Hill Duplex,f,Minor,Seattle,WA,98112,47.62191137070220,-122.29750112615400,Townhouse,145.00,t,3
Modern Home & Furnishings,f,Minor,Seattle,WA,98122,47.613036722098800,-122.29945323678400,House,275.00,t,2
QuietSpaceinMadisonValley,f,Minor,Seattle,WA,98122,47.618252846233800,-122.29846789003400,Townhouse,60.00,t,7
Central District Green GardenStudio,f,Minor,Seattle,WA,98122,47.613059671864900,-122.29738501105600,Apartment,95.00,t,93
"Backyard studio, quiet neighborhood",f,Minor,Seattle,WA,98122,47.60312697072380,-122.30067065718500,House,140.00,t,24
"TL ""Boston"": renovated 2 bed/2 bath",t,Minor,Seattle,WA,98112,47.62091627474820,-122.29791487605700,Condominium,250.00,t,7
"Central District ""Green"" House",f,Minor,Seattle,WA,98122,47.6121976255837,-122.29777149083900,House,225.00,t,11
"Centrally located, easy access!",f,Minor,Seattle,WA,98122,47.618586174067300,-122.30150506676600,Townhouse,60.00,t,0
Brand New Madison Valley Townhome,f,Minor,Seattle,WA,98122,47.61608360784070,-122.29817073257800,House,95.00,t,0
Centrally located private room,f,Minor,Seattle,WA,98122,47.603270250103700,-122.30216062683600,Townhouse,65.00,t,16
All you need in Capitol Hill,f,Minor,Seattle,WA,98122,47.61763200045240,-122.30055650261600,House,78.00,t,2
"Capitol Hill Apt, Magnificent Views",f,Minor,Seattle,WA,98122,47.61780091284800,-122.30002377668200,Apartment,59.00,t,1
Fields of Dreams: Modern 4bed/3.5ba,t,Minor,Seattle,WA,98112,47.62039309171460,-122.2995755231250,Townhouse,400.00,t,0
Private room+bath in Seattle house,f,Minor,Seattle,WA,98122,47.619822029202800,-122.29796445019900,House,55.00,t,27
A Modern Craftsman Room with a View,t,Minor,Seattle,WA,98122,47.61894867801810,-122.2983498260120,House,129.00,t,14
Beautiful and quiet home in Seattle,f,Minor,Seattle,WA,98122,47.61110455283240,-122.29913214402800,House,65.00,t,28
Central District room near Downtown,f,Minor,Seattle,WA,98122,47.61401049351890,-122.29660736893600,House,175.00,t,0
Centrally located sanctuary,f,Minor,Seattle,WA,98122,47.60957775998550,-122.29886413405000,House,160.00,t,15
Central District Bungalow ,f,Minor,Seattle,WA,98122,47.60526921641390,-122.2987883027360,House,75.00,t,6
Private bedroom in Central District,f,Minor,Seattle,WA,98122,47.604237750843400,-122.29944677292700,House,80.00,t,10
All you need in Capitol Hill - 4pax,f,Minor,Seattle,WA,98122,47.61818758049490,-122.30192110347100,House,109.00,t,0
Quiet and beautiful House,f,Minor,Seattle,WA,98122,47.60888015444580,-122.29871230065000,House,95.00,t,8
Charming Private Studio in Seattle,t,Minor,Seattle,WA,98122,47.61433213940120,-122.3013292631540,House,85.00,t,54
NEW! - Capitol Hill Apt 1100 sq ft,f,Minor,Seattle,WA,98122,47.614818154557800,-122.30034347905800,Apartment,99.00,t,66
Artist's Garden Studio,f,Minor,Seattle,WA,98122,47.60921741281970,-122.3025701266540,House,90.00,t,2
Private Cottage,f,Minor,Seattle,WA,98122,47.608465118623700,-122.29685423311100,House,73.00,t,6
House of Suffrage: 5 bed sleeps 15!,t,Minor,Seattle,WA,98122,47.612157487743000,-122.30119662491000,House,400.00,t,0
The Green House in Madison Valley,f,Minor,Seattle,WA,98112,47.62013918118000,-122.29635721407100,House,170.00,t,27
Contemporary Urban - Guest Bedroom,t,Minor,Seattle,WA,98122,47.61532060816360,-122.30176000568300,House,48.00,t,45
Relaxing & Modern & Easy Access,f,Minor,Seattle,WA,98112,47.62022331900630,-122.29857748892700,Townhouse,90.00,t,8
"Private 1BR, Pkg, 5% to Charity",f,Minor,Seattle,WA,98122,47.61231304498600,-122.2982521554200,House,82.00,t,181
"Cozy, Dog Friendly Home",f,Madrona,Seattle,WA,98122,47.618710169598600,-122.29642382876400,House,250.00,t,0
Charming 2bd Craftsman,f,Minor,Seattle,WA,98122,47.61518001458240,-122.30161347374200,House,199.00,t,3
Cute 1BR in Madison Valley!,f,Minor,Seattle,WA,98122,47.612851104182900,-122.29968154098000,Apartment,105.00,t,56
Beautiful Craftsman House,f,Minor,Seattle,WA,98122,47.61323754058680,-122.29766863516000,House,250.00,t,1
Private room/bath - Madrona/Seattle,t,Madrona,Seattle,WA,98122,47.613981290100500,-122.29673983444900,House,75.00,t,30
Wall Street: Luxury 3 bed/2.5 bath,t,Minor,Seattle,WA,98112,47.618933241270000,-122.29985120662800,Townhouse,250.00,t,0
Central District 2 BR with parking,f,Minor,Seattle,WA,98122,47.61118873183960,-122.3007846041710,House,175.00,t,0
Urban Farm & Solar-Powered Home,f,Minor,Seattle,WA,98122,47.61662262519430,-122.29860596290500,House,95.00,t,54
"TL ""Vermont"": newly renovated 1 bed",t,Minor,Seattle,WA,98112,47.62088255254930,-122.29774493518400,Condominium,150.00,t,10
Cosy Central District room,f,Minor,Seattle,WA,98122,47.61297673205200,-122.30147314590200,House,65.00,t,12
"Cozy, Modern 1BR in Capitol Hill",f,Minor,Seattle,WA,98122,47.613796174996200,-122.30072853334300,Apartment,120.00,t,8
Modern townhome  in great location,f,Minor,Seattle,WA,98122,47.619428633021300,-122.29827646846700,Townhouse,300.00,t,1
Charming 1 bedrm in Central Seattle,t,Minor,Seattle,WA,98122,47.61119778352580,-122.30108669175200,Apartment,89.00,t,25
Cozy one bedroom Garden Cottage,f,Minor,Seattle,WA,98112,47.61822209510690,-122.29853624734000,House,109.00,t,46
Mid-Century Mdrn by Famous Archit.,f,Minor,Seattle,WA,98122,47.610498729537500,-122.29725725327300,Apartment,75.00,t,1
Stylish Central District 2 Bedroom,f,Minor,Seattle,WA,98122,47.61015560009250,-122.30240771635600,Apartment,99.00,t,10
New Convenient E Capitol Hill House,f,Minor,Seattle,WA,98112,47.622336877645200,-122.29743574773800,House,150.00,t,25
Charming Central Seattle House,f,Minor,Seattle,WA,98122,47.609522990748600,-122.29865814217600,House,175.00,t,2
Stylish & Cozy Apt in Urban Seattle,t,Minor,Seattle,WA,98122,47.60810282021910,-122.29706112950700,House,120.00,t,27
Chic Luxurious Room Near Cap Hill,f,,Seattle,WA,98112,47.61847455916660,-122.29867867705000,Apartment,45.00,t,1
The Chalet: Modern 2 bed craftsman,t,Minor,Seattle,WA,98122,47.617102444015100,-122.29655924832700,Townhouse,150.00,t,4
Central located Garden Apartment,f,,Seattle,WA,98122,47.610402799129700,-122.30033258665700,Apartment,95.00,t,0
Modern Townhouse near Capitol Hill,f,Minor,Seattle,WA,98112,47.619161093517400,-122.29865513217200,Townhouse,50.00,t,12
Quiet artsy bedroom near everything,f,Minor,Seattle,WA,98122,47.617208801549000,-122.30175375800700,House,129.00,t,28
Discounted Monthly RATES Jan & Feb,f,Minor,Seattle,WA,98122,47.61286679515600,-122.29847913209400,House,295.00,t,22
Large 1BR Apt Central Dist/Cap Hill,f,Minor,Seattle,WA,98122,47.615607879819500,-122.30189596268000,Apartment,99.00,t,1
